experiment_id,excel_row,source,data_type,use_in_demo,htl_name,perovskite_system,device_config,passivator_combo,has_3MTPAI,has_PDAI2,has_EDAI2,has_PipDI,concentration_text,solvent,spin_speed_rpm,spin_time_s,anneal_temp_C,anneal_time_min,PCE_percent,Voc_V,Jsc_mA_cm2,FF_percent,demo_stage,recommendation_role,extraction_confidence,evidence_text,raw_preparation_short
DEMO-001,962,317,literature_extracted,yes,MeO-4PACz,(FAPbI3)0.95 (CsPbI3)0.05,p-i-n,EDAI2,0,0,1,0,0.5 mg ml-1,IPA,5000,30.0,100.0,5.0,20.83,1.162,22.53,79.56,screening_pool,screening/background,medium,"d 4000 rpm 60s with 200 μL anisole dripped slowly at 25 s in the second spinning step. We annealed the as-deposited films at 65 °C for 5 min and 100 °C for 15 min. The 0.5 mg ml-1 EDAI2 solution (dissolved in IPA) was spin-coated on the perovskite top surface at 5000 rpm for 30 s and then annealed at 100 °C for 5 min or dried at room temperature. After that, 20 nm C60 was thermally evaporated on top of the perovskite layer. 10 nm SnO2 was then deposited using the thermal atomic layer deposition (ALD) technique. Finally, 130 nm thickness of Ag was thermally evaporated as an electrode using a shadow mask.","Preparation_of_Perovskite_Solar_Cell:For the composition FA0.8Cs0.2Pb(I0.8Br0.2)3, 1M perovskite precursor solution was prepared by mixing FAI, CsI, PbI2 and PbBr2 in DMF: DMSO (3:1/v:v) mixed solvent subject to the stochiometric ratio. Then 6.46 mg (2 mol% relative to Pb) Pb(SCN)2 was added into the solution. The perovskite precursor solution was thoroughly mixed and aged for 12 hours before use. Preparation_of_Substrate: Perovskite solar cell devices having the structure of ITO/NiOx/HTM/FA0.95Cs0.05PbI3/C60/SnO2/Ag.2000 rpm for 20 s, annealed at 150 °C for 10 min in ambient air and then transferred to a N2-filled glovebox. Subsequently, for the control device, Me-4PACz (0.5 mg ml-1 in ethanol) was deposited on the NiOx at 3000 rpm for 30 s, followed by annealing at 100 °C for 10 min. The WBG perovskite was spin-coated at 500 rpm 2 s and 4000 rpm 60s with 200 μL anisole dripped slowly at 25 s in the second spinning step. We annealed the as-deposited films at 65 °C for 5 min and 100 °C"
DEMO-002,963,318,literature_extracted,yes,PhPAPy,(FAPbI3)0.9 (CsPbI3)0.05 (MAPbI3)0.05,p-i-n,3MTPAI + PDAI2,1,1,0,0,not specified in text,IPA + CB + mixed IPA/CB,5000,30.0,100.0,10.0,26.12,1.187,26.74,84.26,high_performance_seed,candidate high-PCE seed,medium-low,"he final 8 seconds, 150 μL of CB was dripped onto the center of the film. The substrates were then immediately transferred to a hotplate and annealed at 100 °C for 30 minutes. For surface passivation, a solution of PDAI2 and 3MTPAI in a mixed solvent of IPA and CB (1:1 in volume) was dynamically spin-coated onto the perovskite films at 5,000 rpm for 30 seconds, followed by annealing at 100 °C for 10 minutes. All spin-coating processes were conducted in a nitrogen-filled glove box, with the temperature maintained between 18-23 °C and oxygen levels controlled below 10 ppm. Finally, a 30 nm layer of C60 was thermally evaporated at a rate of 0.3 Å s-1, followed by a 5 nm layer of BCP at the same rate and a 100 nm silver electrode at a rate of 1.0 Å s-1, all performed under high vacuum conditions (less than 5 × 10-4 Torr). The device area was defined as 0.074 cm2 using a metal shadow mask. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTM/Perovskite/2D Passivation/C60/BCP/Ag.ITO/FTO substrates were sequentially cleaned in an ultrasonic cleaner using detergent, deionized water, and ethanol for 40 minutes each. Then, the substrates","Preparation_of_Perovskite_Solar_Cell:The FA0.9MA0.05Cs0.05PbI3 perovskite precursor solution (1.5 M) was obtained by mixing FAI, MAI, CsI, and PbI2 in 800 μL DMF and 200 μL DMSO according to the stoichiometric ratio with the addition of 10% MACl and 5% PbI2. The perovskite precursor was then spin-coated onto the prepared HTL-coated substrates at 1,000 rpm for 5 seconds, followed by 5,000 rpm for 40 seconds. During the final 8 seconds, 150 μL of CB was dripped onto the center of the film. The substrates were then immediately transferred to a hotplate and annealed at 100 °C for 30 minutes. For surface passivation, a solution of PDAI2 and 3MTPAI in a mixed solvent of IPA and CB (1:1 in volume) was dynamically spin-coated onto the perovskite films at 5,000 rpm for 30 seconds, followed by annealing at 100 °C for 10 minutes. All spin-coating processes were conducted in a nitrogen-filled glove box, with the temperature maintained between 18-23 °C and oxygen levels controlled below 10 ppm. Fin"
DEMO-003,964,318,literature_extracted,yes,4PACz,(FAPbI3)0.9 (CsPbI3)0.05 (MAPbI3)0.05,p-i-n,3MTPAI + PDAI2,1,1,0,0,not specified in text,IPA + CB + mixed IPA/CB,5000,30.0,100.0,10.0,24.77,1.158,26.59,80.47,high_performance_seed,candidate high-PCE seed,medium-low,"he final 8 seconds, 150 μL of CB was dripped onto the center of the film. The substrates were then immediately transferred to a hotplate and annealed at 100 °C for 30 minutes. For surface passivation, a solution of PDAI2 and 3MTPAI in a mixed solvent of IPA and CB (1:1 in volume) was dynamically spin-coated onto the perovskite films at 5,000 rpm for 30 seconds, followed by annealing at 100 °C for 10 minutes. All spin-coating processes were conducted in a nitrogen-filled glove box, with the temperature maintained between 18-23 °C and oxygen levels controlled below 10 ppm. Finally, a 30 nm layer of C60 was thermally evaporated at a rate of 0.3 Å s-1, followed by a 5 nm layer of BCP at the same rate and a 100 nm silver electrode at a rate of 1.0 Å s-1, all performed under high vacuum conditions (less than 5 × 10-4 Torr). The device area was defined as 0.074 cm2 using a metal shadow mask. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTM/Perovskite/2D Passivation/C60/BCP/Ag.ITO/FTO substrates were sequentially cleaned in an ultrasonic cleaner using detergent, deionized water, and ethanol for 40 minutes each. Then, the substrates","Preparation_of_Perovskite_Solar_Cell:The FA0.9MA0.05Cs0.05PbI3 perovskite precursor solution (1.5 M) was obtained by mixing FAI, MAI, CsI, and PbI2 in 800 μL DMF and 200 μL DMSO according to the stoichiometric ratio with the addition of 10% MACl and 5% PbI2. The perovskite precursor was then spin-coated onto the prepared HTL-coated substrates at 1,000 rpm for 5 seconds, followed by 5,000 rpm for 40 seconds. During the final 8 seconds, 150 μL of CB was dripped onto the center of the film. The substrates were then immediately transferred to a hotplate and annealed at 100 °C for 30 minutes. For surface passivation, a solution of PDAI2 and 3MTPAI in a mixed solvent of IPA and CB (1:1 in volume) was dynamically spin-coated onto the perovskite films at 5,000 rpm for 30 seconds, followed by annealing at 100 °C for 10 minutes. All spin-coating processes were conducted in a nitrogen-filled glove box, with the temperature maintained between 18-23 °C and oxygen levels controlled below 10 ppm. Fin"
DEMO-004,974,323,literature_extracted,yes,3CATAT-C3,(CsPb(I2.75Br0.25))0.05 (FAPb(I2.75Br0.25))0.8 (MAPb(I2.75Br0.25))0.15,p-i-n,EDAI2,0,0,1,0,4 mg,IPA + toluene + TL,4000,20.0,100.0,10.0,22.1,1.11,24.6,81,screening_hit,screening positive,medium,"ning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum deposition chamber, where 0.5 nm of EDAI2 (deposition rate 0.01 nm s-1) was deposited by thermal evaporation. For the EDAI2 post-treatment by spin-coating method, 4 mg of EDAI2 was added to the mixture of 3 mL IPA and 3 mL toluene. The mixed solvent solution was stirred at 60 °C for 1 h the filtered through 0.45 µm PTFE filter before spin-coating. 100 µL of the EDAI2 solution at room temperature was used for each substrate (slope 3 s, 4000 rpm 20 s, slope 3 s), followed by annealing at 100 °C for 10 min. Fabrication of Electron Transporting Layer and Metal Electrode The above samples were moved under Ar to a vacuum deposition chamber, where 20 nm of C60 (deposition rate 0.05 nm s-1) and 8 nm of BCP (deposition rate 0.01 nm s-1) were deposited by thermal evaporation. The top electrode was prepared by depositing 100 nm of silver (deposition rate 0.005 nm s-1) through a shadow mask. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTM/Cs0.05FA0.9MA0.05PbI2.75Br0.25/EDAI2/C60/BCP/Ag.Glass/I","Preparation_of_Perovskite_Solar_Cell:Fabrication of Perovskite Layer The Cs0.05FA0.80MA0.15PbI2.75Br0.25 precursor solution was prepared from CsI (69 mg, 0.27 mmol), MABr (85 mg, 0.76 mmol), PbI2 (2.24 g, 4.85 mmol), PbBr2 (96 mg, 0.26 mmol), and FAI (703 mg, 4.09 mmol) dissolved in a mixture of DMF (3.0 mL) and DMSO (0.90 mL). For co-deposition method, 3CATAT-C3 or 3PATAT-C3 was mixed with the above precursor solution at different molar ratio vs PbI2 (0.06, 0.11, 0.22, and 0.44 mol%). After stirring at 40 °C for 30 min, the solution was filtered with a 0.45 µm PTFE filter. 190 µL of the solution was placed on a TCO/HCM substrate and spread by spin-coating (slope 1 s, 1000 rpm 10 s, slope 5 s, 6000 rpm 20 s, slope 1 s) to make a thin film. 300 µL of chlorobenzene was dripped over the rotating substrate at 3 s before the end of the spinning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum depositio"
DEMO-005,975,323,literature_extracted,yes,3CATAT-C3,(CsPb(I2.75Br0.25))0.05 (FAPb(I2.75Br0.25))0.8 (MAPb(I2.75Br0.25))0.15,p-i-n,EDAI2,0,0,1,0,4 mg,IPA + toluene + TL,4000,20.0,100.0,10.0,21.2,1.07,23.6,84,screening_pool,screening/background,medium,"ning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum deposition chamber, where 0.5 nm of EDAI2 (deposition rate 0.01 nm s-1) was deposited by thermal evaporation. For the EDAI2 post-treatment by spin-coating method, 4 mg of EDAI2 was added to the mixture of 3 mL IPA and 3 mL toluene. The mixed solvent solution was stirred at 60 °C for 1 h the filtered through 0.45 µm PTFE filter before spin-coating. 100 µL of the EDAI2 solution at room temperature was used for each substrate (slope 3 s, 4000 rpm 20 s, slope 3 s), followed by annealing at 100 °C for 10 min. Fabrication of Electron Transporting Layer and Metal Electrode The above samples were moved under Ar to a vacuum deposition chamber, where 20 nm of C60 (deposition rate 0.05 nm s-1) and 8 nm of BCP (deposition rate 0.01 nm s-1) were deposited by thermal evaporation. The top electrode was prepared by depositing 100 nm of silver (deposition rate 0.005 nm s-1) through a shadow mask. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTM/Cs0.05FA0.9MA0.05PbI2.75Br0.25/EDAI2/C60/BCP/Ag.Glass/I","Preparation_of_Perovskite_Solar_Cell:Fabrication of Perovskite Layer The Cs0.05FA0.80MA0.15PbI2.75Br0.25 precursor solution was prepared from CsI (69 mg, 0.27 mmol), MABr (85 mg, 0.76 mmol), PbI2 (2.24 g, 4.85 mmol), PbBr2 (96 mg, 0.26 mmol), and FAI (703 mg, 4.09 mmol) dissolved in a mixture of DMF (3.0 mL) and DMSO (0.90 mL). For co-deposition method, 3CATAT-C3 or 3PATAT-C3 was mixed with the above precursor solution at different molar ratio vs PbI2 (0.06, 0.11, 0.22, and 0.44 mol%). After stirring at 40 °C for 30 min, the solution was filtered with a 0.45 µm PTFE filter. 190 µL of the solution was placed on a TCO/HCM substrate and spread by spin-coating (slope 1 s, 1000 rpm 10 s, slope 5 s, 6000 rpm 20 s, slope 1 s) to make a thin film. 300 µL of chlorobenzene was dripped over the rotating substrate at 3 s before the end of the spinning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum depositio"
DEMO-006,976,323,literature_extracted,yes,3CATAT-C3,(CsPb(I2.75Br0.25))0.05 (FAPb(I2.75Br0.25))0.8 (MAPb(I2.75Br0.25))0.15,p-i-n,EDAI2,0,0,1,0,4 mg,IPA + toluene + TL,4000,20.0,100.0,10.0,22.7,1.12,24.7,82,screening_hit,screening positive,medium,"ning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum deposition chamber, where 0.5 nm of EDAI2 (deposition rate 0.01 nm s-1) was deposited by thermal evaporation. For the EDAI2 post-treatment by spin-coating method, 4 mg of EDAI2 was added to the mixture of 3 mL IPA and 3 mL toluene. The mixed solvent solution was stirred at 60 °C for 1 h the filtered through 0.45 µm PTFE filter before spin-coating. 100 µL of the EDAI2 solution at room temperature was used for each substrate (slope 3 s, 4000 rpm 20 s, slope 3 s), followed by annealing at 100 °C for 10 min. Fabrication of Electron Transporting Layer and Metal Electrode The above samples were moved under Ar to a vacuum deposition chamber, where 20 nm of C60 (deposition rate 0.05 nm s-1) and 8 nm of BCP (deposition rate 0.01 nm s-1) were deposited by thermal evaporation. The top electrode was prepared by depositing 100 nm of silver (deposition rate 0.005 nm s-1) through a shadow mask. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTM/Cs0.05FA0.9MA0.05PbI2.75Br0.25/EDAI2/C60/BCP/Ag.Glass/I","Preparation_of_Perovskite_Solar_Cell:Fabrication of Perovskite Layer The Cs0.05FA0.80MA0.15PbI2.75Br0.25 precursor solution was prepared from CsI (69 mg, 0.27 mmol), MABr (85 mg, 0.76 mmol), PbI2 (2.24 g, 4.85 mmol), PbBr2 (96 mg, 0.26 mmol), and FAI (703 mg, 4.09 mmol) dissolved in a mixture of DMF (3.0 mL) and DMSO (0.90 mL). For co-deposition method, 3CATAT-C3 or 3PATAT-C3 was mixed with the above precursor solution at different molar ratio vs PbI2 (0.06, 0.11, 0.22, and 0.44 mol%). After stirring at 40 °C for 30 min, the solution was filtered with a 0.45 µm PTFE filter. 190 µL of the solution was placed on a TCO/HCM substrate and spread by spin-coating (slope 1 s, 1000 rpm 10 s, slope 5 s, 6000 rpm 20 s, slope 1 s) to make a thin film. 300 µL of chlorobenzene was dripped over the rotating substrate at 3 s before the end of the spinning at 6000 rpm The films were then annealed on a hot plate at 150 °C for 10 min. The above perovskite samples were moved under Ar to a vacuum depositio"
DEMO-007,979,325,literature_extracted,yes,MeO-2PACz,(FAPbI3)0.9 (CsPbI3)0.05 (MAPbI3)0.05,p-i-n,PDAI2,0,1,0,0,,IPA,,,110.0,10.0,24.53,1.179,25.51,81.56,high_performance_seed,candidate high-PCE seed,medium-low,"n, 120 μL CB was rapidly added to the top of the perovskite at 3000 rpm for 30 s, 15 s before the end of the spin-coating process. The film was annealing at 110 °C for 15 min. For surface passivation, The IPA solution of PDAI2 was cast onto 5000 rpm spun perovskite films, followed by annealing at 110 °C for 10 min. Finally, 18 nm C60, 4.5 nm BCP, and 80 nm copper electrode were sequentially thermal evaporated onto these perovskite films. Preparation_of_Substrate: Perovskite solar cell devices having the structure of ITO/HTM/Perovskite/C60/BCP/Cu.The indium tin oxide (ITO) glass substrates were washed in IPA and acetone by ultrasonic treatment for 20 min, respectively. The ITO substrates were treated by UV-ozone (UVO) for 15 min.","Preparation_of_Perovskite_Solar_Cell:The ethanol solution of MeO-2PACz or MeO-2PACz + ligands (0.5, 1.0, 1.5, 2.0, 2.5 mg/mL) were spin-coated onto the ITO glass substrates at 5000 rpm for 20 s, followed by annealing at 110 °C for 10 min to fabricate the self-assembled monolayer (SAMs). Then, the hole-selective-layer coated ITO was washed with anhydrous ethanol by dynamic coating at 5,000 rpm for 20 s, followed by annealing at 110 °C for 10 min to eliminate unbound molecules. The perovskite precursor solution was spin-coated on SAMs at 1000 rpm for 5 s, then, 120 μL CB was rapidly added to the top of the perovskite at 3000 rpm for 30 s, 15 s before the end of the spin-coating process. The film was annealing at 110 °C for 15 min. For surface passivation, The IPA solution of PDAI2 was cast onto 5000 rpm spun perovskite films, followed by annealing at 110 °C for 10 min. Finally, 18 nm C60, 4.5 nm BCP, and 80 nm copper electrode were sequentially thermal evaporated onto these perovskite fi"
DEMO-008,982,327,literature_extracted,yes,4PADCB,(CsPb(I0.77Br0.23)3)0.15 (FAPb(I0.77Br0.23)3)0.85,p-i-n,EDAI2,0,0,1,0,1+1 mg mL-1,IPA,4000,20.0,100.0,5.0,21.4,1.24,22.25,77.31,screening_pool,screening/background,medium," for 38 s with the accelerated speed of 700 rpm/s. EA was used as the anti-solvent at the 28th second, the precursor film was annealed at 100 °C for 10min. After that, 1+1 mg mL-1 EDAI2+PEAI @IPA was coated on the perovskite surface at 4000 rpm for 20 s and annealed at 100 °C for 5 min. And then, 20 nm C60, 15 nm SnO2 were finished by thermally evaporation and atomic layer deposition, respectively. Finally, 150 nm Cu (2.0 Å/s) was thermally evaporated as an electrode using a shadow mask. The device area was 0.108 cm2, and a 0.0737 cm2 non-reflective mask was used to define the accurate active cell area when do J-V measurements. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTL/Cs0.15FA0.85Pb(I0.77Br0.23)3/EDAI2+PEAI/C60/SnO2/Cu.For normal devices, the structure of the modification layer was EDAI2+PEAI. FTO glass was cleaned using detergent, deionized water, acetone and IPA before drying in a N2 flow. Next, the FTO substrate was treated by ultraviolet ozone (UVO) for 15 min and then transferred to N2 glove box. 0.5 mg mL-1 SAM was deposited on the FTO at 3000 rpm for 30 s, and annealed at 100 °C for 10min.","Preparation_of_Perovskite_Solar_Cell:For deposition of perovskite layer, 1.5 m perovskite precursor solution was deposited on the FTO/HTL substrate at 3500 rpm for 38 s with the accelerated speed of 700 rpm/s. EA was used as the anti-solvent at the 28th second, the precursor film was annealed at 100 °C for 10min. After that, 1+1 mg mL-1 EDAI2+PEAI @IPA was coated on the perovskite surface at 4000 rpm for 20 s and annealed at 100 °C for 5 min. And then, 20 nm C60, 15 nm SnO2 were finished by thermally evaporation and atomic layer deposition, respectively. Finally, 150 nm Cu (2.0 Å/s) was thermally evaporated as an electrode using a shadow mask. The device area was 0.108 cm2, and a 0.0737 cm2 non-reflective mask was used to define the accurate active cell area when do J-V measurements. Preparation_of_Substrate: Perovskite solar cell devices having the structure of FTO/HTL/Cs0.15FA0.85Pb(I0.77Br0.23)3/EDAI2+PEAI/C60/SnO2/Cu.For normal devices, the structure of the modification layer was E"
DEMO-009,987,329,literature_extracted,yes,MPA-BT-BA,(FAPb0.5Sn0.5I3)0.6 (MAPb0.5Sn0.5I3)0.3 (CsPb0.5Sn0.5I3)0.1,p-i-n,EDAI2,0,0,1,0,,TL + DE,4000,30.0,100.0,5.0,21.04,0.857,32.45,75.67,screening_pool,screening/background,medium-low,"or 10 s and 4000 rpm for 50 s). 500 μL CB was dropped onto the substrates during the second spin-coating step. Then, the perovskite films were annealed at 100 °C for 10 min. 70 μL EDAI2 solution was deposited on the LBG perovskite films at 4000 rpm for 30 s, followed by annealing at 100 °C for 5 min. Finally, the obtained perovskite films were successively evaporated 20-nm C60, 5-nm BCP and 100-nm Cu. All-perovskite TSCs: The cleaning of ITO substrates is the same as mentioned above. 70 μL solution (0.3 mg mL-1 ) of 2F dissolved in TL was deposited on the ITO substrates and spin-coated at 4000 rpm for 30 s, followed by annealing at 100 °C for 15 min. The perovskite precursor was dropped on HSCs and immediately spin-coated using a two-stage technique (500 rpm for 2 s and 4000 rpm for 60 s), with 660 μL DE dripped at 25 s of the second step. Then the obtained WBG perovskite films were annealed at 60 °C for 2 min, followed by 100 °C for 10 min. After the perovskite films were cooled down, 70 μL of 2-thiopheneethylammonium chloride (TEACl) solution was deposited onto the perovskite films at 3000 rpm for 30 s, and annealed at 100 °C for 5 min. The as-prepared perovsk","Preparation_of_Perovskite_Solar_Cell: For BT/MBT/EBT/MEBT HSCs, 60 μL solution (0.35 mg mL-1 in TL) was deposited on the ITO substrates and then spin-coated at 3000 rpm for 20 s, followed by annealing at 105 °C for 10 min. 55 μL perovskite precursor solution was spin-coated onto the HSCs by a two-step process (1000 rpm for 10 s and 4000 rpm for 50 s). 500 μL CB was dropped onto the substrates during the second spin-coating step. Then, the perovskite films were annealed at 100 °C for 10 min. 70 μL EDAI2 solution was deposited on the LBG perovskite films at 4000 rpm for 30 s, followed by annealing at 100 °C for 5 min. Finally, the obtained perovskite films were successively evaporated 20-nm C60, 5-nm BCP and 100-nm Cu. All-perovskite TSCs: The cleaning of ITO substrates is the same as mentioned above. 70 μL solution (0.3 mg mL-1 ) of 2F dissolved in TL was deposited on the ITO substrates and spin-coated at 4000 rpm for 30 s, followed by annealing at 100 °C for 15 min. The perovskite prec"
DEMO-010,988,329,literature_extracted,yes,MPA-MBT-BA,(FAPb0.5Sn0.5I3)0.6 (MAPb0.5Sn0.5I3)0.3 (CsPb0.5Sn0.5I3)0.1,p-i-n,EDAI2,0,0,1,0,,TL + DE,4000,30.0,100.0,5.0,23.06,0.873,32.63,80.95,screening_hit,screening positive,medium-low,"or 10 s and 4000 rpm for 50 s). 500 μL CB was dropped onto the substrates during the second spin-coating step. Then, the perovskite films were annealed at 100 °C for 10 min. 70 μL EDAI2 solution was deposited on the LBG perovskite films at 4000 rpm for 30 s, followed by annealing at 100 °C for 5 min. Finally, the obtained perovskite films were successively evaporated 20-nm C60, 5-nm BCP and 100-nm Cu. All-perovskite TSCs: The cleaning of ITO substrates is the same as mentioned above. 70 μL solution (0.3 mg mL-1 ) of 2F dissolved in TL was deposited on the ITO substrates and spin-coated at 4000 rpm for 30 s, followed by annealing at 100 °C for 15 min. The perovskite precursor was dropped on HSCs and immediately spin-coated using a two-stage technique (500 rpm for 2 s and 4000 rpm for 60 s), with 660 μL DE dripped at 25 s of the second step. Then the obtained WBG perovskite films were annealed at 60 °C for 2 min, followed by 100 °C for 10 min. After the perovskite films were cooled down, 70 μL of 2-thiopheneethylammonium chloride (TEACl) solution was deposited onto the perovskite films at 3000 rpm for 30 s, and annealed at 100 °C for 5 min. The as-prepared perovsk","Preparation_of_Perovskite_Solar_Cell: For BT/MBT/EBT/MEBT HSCs, 60 μL solution (0.35 mg mL-1 in TL) was deposited on the ITO substrates and then spin-coated at 3000 rpm for 20 s, followed by annealing at 105 °C for 10 min. 55 μL perovskite precursor solution was spin-coated onto the HSCs by a two-step process (1000 rpm for 10 s and 4000 rpm for 50 s). 500 μL CB was dropped onto the substrates during the second spin-coating step. Then, the perovskite films were annealed at 100 °C for 10 min. 70 μL EDAI2 solution was deposited on the LBG perovskite films at 4000 rpm for 30 s, followed by annealing at 100 °C for 5 min. Finally, the obtained perovskite films were successively evaporated 20-nm C60, 5-nm BCP and 100-nm Cu. All-perovskite TSCs: The cleaning of ITO substrates is the same as mentioned above. 70 μL solution (0.3 mg mL-1 ) of 2F dissolved in TL was deposited on the ITO substrates and spin-coated at 4000 rpm for 30 s, followed by annealing at 100 °C for 15 min. The perovskite prec"
